Step,Event,Robot X,Robot Y,Heading,"Cell(0,0)","Cell(0,0)_N","Cell(0,0)_E","Cell(0,0)_S","Cell(0,0)_W","Cell(1,0)","Cell(1,0)_N","Cell(1,0)_E","Cell(1,0)_S","Cell(1,0)_W","Cell(2,0)","Cell(2,0)_N","Cell(2,0)_E","Cell(2,0)_S","Cell(2,0)_W","Cell(3,0)","Cell(3,0)_N","Cell(3,0)_E","Cell(3,0)_S","Cell(3,0)_W","Cell(0,1)","Cell(0,1)_N","Cell(0,1)_E","Cell(0,1)_S","Cell(0,1)_W","Cell(1,1)","Cell(1,1)_N","Cell(1,1)_E","Cell(1,1)_S","Cell(1,1)_W","Cell(2,1)","Cell(2,1)_N","Cell(2,1)_E","Cell(2,1)_S","Cell(2,1)_W","Cell(3,1)","Cell(3,1)_N","Cell(3,1)_E","Cell(3,1)_S","Cell(3,1)_W","Cell(0,2)","Cell(0,2)_N","Cell(0,2)_E","Cell(0,2)_S","Cell(0,2)_W","Cell(1,2)","Cell(1,2)_N","Cell(1,2)_E","Cell(1,2)_S","Cell(1,2)_W","Cell(2,2)","Cell(2,2)_N","Cell(2,2)_E","Cell(2,2)_S","Cell(2,2)_W","Cell(3,2)","Cell(3,2)_N","Cell(3,2)_E","Cell(3,2)_S","Cell(3,2)_W","Cell(0,3)","Cell(0,3)_N","Cell(0,3)_E","Cell(0,3)_S","Cell(0,3)_W","Cell(1,3)","Cell(1,3)_N","Cell(1,3)_E","Cell(1,3)_S","Cell(1,3)_W","Cell(2,3)","Cell(2,3)_N","Cell(2,3)_E","Cell(2,3)_S","Cell(2,3)_W","Cell(3,3)","Cell(3,3)_N","Cell(3,3)_E","Cell(3,3)_S","Cell(3,3)_W"
10,SMART_SCAN_3_1,3,1,EAST,0.018,0.1,0.982,0.982,0.982,0.5,0.5,0.982,0.982,0.982,0.05,0.1,0.1,0.982,0.982,0.5,0.982,0.982,0.982,0.1,0.05,0.1,0.982,0.1,0.982,0.5,0.982,0.982,0.5,0.982,0.018,0.1,0.1,0.1,0.982,0.05,0.1,0.982,0.982,0.1,0.05,0.1,0.982,0.1,0.982,0.05,0.1,0.1,0.982,0.982,0.05,0.1,0.982,0.1,0.1,0.5,0.5,0.982,0.1,0.982,0.05,0.982,0.1,0.1,0.982,0.05,0.982,0.1,0.1,0.1,0.5,0.982,0.5,0.1,0.1,0.5,0.982,0.982,0.5,0.5
11,MOVE_TO_3_2,3,2,NORTH,0.018,0.1,0.982,0.982,0.982,0.5,0.5,0.982,0.982,0.982,0.05,0.1,0.1,0.982,0.982,0.5,0.982,0.982,0.982,0.1,0.05,0.1,0.982,0.1,0.982,0.5,0.982,0.982,0.5,0.982,0.018,0.1,0.1,0.1,0.982,0.05,0.1,0.982,0.982,0.1,0.05,0.1,0.982,0.1,0.982,0.05,0.1,0.1,0.982,0.982,0.05,0.1,0.982,0.1,0.1,0.5,0.5,0.982,0.1,0.982,0.05,0.982,0.1,0.1,0.982,0.05,0.982,0.1,0.1,0.1,0.5,0.982,0.5,0.1,0.1,0.5,0.982,0.982,0.5,0.5
11,SMART_SCAN_3_2,3,2,NORTH,0.018,0.1,0.982,0.982,0.982,0.5,0.5,0.982,0.982,0.982,0.05,0.1,0.1,0.982,0.982,0.5,0.982,0.982,0.982,0.1,0.05,0.1,0.982,0.1,0.982,0.5,0.982,0.982,0.5,0.982,0.018,0.1,0.1,0.1,0.982,0.05,0.1,0.982,0.982,0.1,0.05,0.1,0.982,0.1,0.982,0.05,0.1,0.1,0.982,0.982,0.05,0.1,0.982,0.1,0.1,0.05,0.982,0.982,0.1,0.982,0.05,0.982,0.1,0.1,0.982,0.05,0.982,0.1,0.1,0.1,0.5,0.982,0.5,0.1,0.1,0.5,0.982,0.982,0.982,0.5
12,MOVE_TO_3_1,3,1,SOUTH,0.018,0.1,0.982,0.982,0.982,0.5,0.5,0.982,0.982,0.982,0.05,0.1,0.1,0.982,0.982,0.5,0.982,0.982,0.982,0.1,0.05,0.1,0.982,0.1,0.982,0.5,0.982,0.982,0.5,0.982,0.018,0.1,0.1,0.1,0.982,0.05,0.1,0.982,0.982,0.1,0.05,0.1,0.982,0.1,0.982,0.05,0.1,0.1,0.982,0.982,0.05,0.1,0.982,0.1,0.1,0.05,0.982,0.982,0.1,0.982,0.05,0.982,0.1,0.1,0.982,0.05,0.982,0.1,0.1,0.1,0.5,0.982,0.5,0.1,0.1,0.5,0.982,0.982,0.982,0.5
12,SMART_SCAN_3_1,3,1,SOUTH,0.018,0.1,0.982,0.982,0.982,0.5,0.5,0.982,0.982,0.982,0.05,0.1,0.1,0.982,0.982,0.5,0.982,0.982,0.982,0.1,0.05,0.1,0.982,0.1,0.982,0.5,0.982,0.982,0.5,0.982,0.018,0.1,0.1,0.1,0.982,0.018,0.1,0.982,0.982,0.1,0.05,0.1,0.982,0.1,0.982,0.05,0.1,0.1,0.982,0.982,0.05,0.1,0.982,0.1,0.1,0.05,0.982,0.982,0.1,0.982,0.05,0.982,0.1,0.1,0.982,0.05,0.982,0.1,0.1,0.1,0.5,0.982,0.5,0.1,0.1,0.5,0.982,0.982,0.982,0.5
13,MOVE_TO_2_1,2,1,WEST,0.018,0.1,0.982,0.982,0.982,0.5,0.5,0.982,0.982,0.982,0.05,0.1,0.1,0.982,0.982,0.5,0.982,0.982,0.982,0.1,0.05,0.1,0.982,0.1,0.982,0.5,0.982,0.982,0.5,0.982,0.018,0.1,0.1,0.1,0.982,0.018,0.1,0.982,0.982,0.1,0.05,0.1,0.982,0.1,0.982,0.05,0.1,0.1,0.982,0.982,0.05,0.1,0.982,0.1,0.1,0.05,0.982,0.982,0.1,0.982,0.05,0.982,0.1,0.1,0.982,0.05,0.982,0.1,0.1,0.1,0.5,0.982,0.5,0.1,0.1,0.5,0.982,0.982,0.982,0.5
13,SMART_SCAN_2_1,2,1,WEST,0.018,0.1,0.982,0.982,0.982,0.5,0.5,0.982,0.982,0.982,0.05,0.1,0.1,0.982,0.982,0.5,0.982,0.982,0.982,0.1,0.05,0.1,0.982,0.1,0.982,0.5,0.982,0.982,0.5,0.982,0.018,0.1,0.1,0.1,0.982,0.018,0.1,0.982,0.982,0.1,0.05,0.1,0.982,0.1,0.982,0.05,0.1,0.1,0.982,0.982,0.05,0.1,0.982,0.1,0.1,0.05,0.982,0.982,0.1,0.982,0.05,0.982,0.1,0.1,0.982,0.05,0.982,0.1,0.1,0.1,0.5,0.982,0.5,0.1,0.1,0.5,0.982,0.982,0.982,0.5
14,MOVE_TO_2_2,2,2,NORTH,0.018,0.1,0.982,0.982,0.982,0.5,0.5,0.982,0.982,0.982,0.05,0.1,0.1,0.982,0.982,0.5,0.982,0.982,0.982,0.1,0.05,0.1,0.982,0.1,0.982,0.5,0.982,0.982,0.5,0.982,0.018,0.1,0.1,0.1,0.982,0.018,0.1,0.982,0.982,0.1,0.05,0.1,0.982,0.1,0.982,0.05,0.1,0.1,0.982,0.982,0.05,0.1,0.982,0.1,0.1,0.05,0.982,0.982,0.1,0.982,0.05,0.982,0.1,0.1,0.982,0.05,0.982,0.1,0.1,0.1,0.5,0.982,0.5,0.1,0.1,0.5,0.982,0.982,0.982,0.5
14,SMART_SCAN_2_2,2,2,NORTH,0.018,0.1,0.982,0.982,0.982,0.5,0.5,0.982,0.982,0.982,0.05,0.1,0.1,0.982,0.982,0.5,0.982,0.982,0.982,0.1,0.05,0.1,0.982,0.1,0.982,0.5,0.982,0.982,0.5,0.982,0.018,0.1,0.1,0.1,0.982,0.018,0.1,0.982,0.982,0.1,0.05,0.1,0.982,0.1,0.982,0.05,0.1,0.1,0.982,0.982,0.018,0.1,0.982,0.1,0.1,0.05,0.982,0.982,0.1,0.982,0.05,0.982,0.1,0.1,0.982,0.05,0.982,0.1,0.1,0.1,0.5,0.982,0.5,0.1,0.1,0.5,0.982,0.982,0.982,0.5
15,MOVE_TO_2_3,2,3,NORTH,0.018,0.1,0.982,0.982,0.982,0.5,0.5,0.982,0.982,0.982,0.05,0.1,0.1,0.982,0.982,0.5,0.982,0.982,0.982,0.1,0.05,0.1,0.982,0.1,0.982,0.5,0.982,0.982,0.5,0.982,0.018,0.1,0.1,0.1,0.982,0.018,0.1,0.982,0.982,0.1,0.05,0.1,0.982,0.1,0.982,0.05,0.1,0.1,0.982,0.982,0.018,0.1,0.982,0.1,0.1,0.05,0.982,0.982,0.1,0.982,0.05,0.982,0.1,0.1,0.982,0.05,0.982,0.1,0.1,0.1,0.5,0.982,0.5,0.1,0.1,0.5,0.982,0.982,0.982,0.5
15,SMART_SCAN_2_3,2,3,NORTH,0.018,0.1,0.982,0.982,0.982,0.5,0.5,0.982,0.982,0.982,0.05,0.1,0.1,0.982,0.982,0.5,0.982,0.982,0.982,0.1,0.05,0.1,0.982,0.1,0.982,0.5,0.982,0.982,0.5,0.982,0.018,0.1,0.1,0.1,0.982,0.018,0.1,0.982,0.982,0.1,0.05,0.1,0.982,0.1,0.982,0.05,0.1,0.1,0.982,0.982,0.018,0.1,0.982,0.1,0.1,0.05,0.982,0.982,0.1,0.982,0.05,0.982,0.1,0.1,0.982,0.05,0.982,0.1,0.1,0.1,0.05,0.982,0.1,0.1,0.1,0.5,0.982,0.982,0.982,0.1
16,MOVE_TO_3_3,3,3,EAST,0.018,0.1,0.982,0.982,0.982,0.5,0.5,0.982,0.982,0.982,0.05,0.1,0.1,0.982,0.982,0.5,0.982,0.982,0.982,0.1,0.05,0.1,0.982,0.1,0.982,0.5,0.982,0.982,0.5,0.982,0.018,0.1,0.1,0.1,0.982,0.018,0.1,0.982,0.982,0.1,0.05,0.1,0.982,0.1,0.982,0.05,0.1,0.1,0.982,0.982,0.018,0.1,0.982,0.1,0.1,0.05,0.982,0.982,0.1,0.982,0.05,0.982,0.1,0.1,0.982,0.05,0.982,0.1,0.1,0.1,0.05,0.982,0.1,0.1,0.1,0.5,0.982,0.982,0.982,0.1
16,SMART_SCAN_3_3,3,3,EAST,0.018,0.1,0.982,0.982,0.982,0.5,0.5,0.982,0.982,0.982,0.05,0.1,0.1,0.982,0.982,0.5,0.982,0.982,0.982,0.1,0.05,0.1,0.982,0.1,0.982,0.5,0.982,0.982,0.5,0.982,0.018,0.1,0.1,0.1,0.982,0.018,0.1,0.982,0.982,0.1,0.05,0.1,0.982,0.1,0.982,0.05,0.1,0.1,0.982,0.982,0.018,0.1,0.982,0.1,0.1,0.05,0.982,0.982,0.1,0.982,0.05,0.982,0.1,0.1,0.982,0.05,0.982,0.1,0.1,0.1,0.05,0.982,0.1,0.1,0.1,0.05,0.982,0.982,0.982,0.1
